id	doc	severity	class	provenance	witness	owner_gated	module	patterns	owner_decision	readme_top	phase	lane	title	disposition	ruling	sha	note
board-frame-8	claims	low	claim	verified		no	The instruments		31		P1		`MAX_SCALING_EXPONENT`'s doc claims 1.15 excludes a log factor at these sizes; an n·log n kernel fits 1.07-1.10 on every committed ladder	fix	9		
envelopes-a-16	claims	low	claim	assessed		yes	The instruments		31		P1		"The ×1.25 one-doubling flatness band admits growth exponents up to about 1.32 while the band docs say ""linear"" and the board judges at 1.15"	fix	9		
envelopes-b-20	claims	low	claim	verified		no	The instruments				P2		Touch liveness floors whose stated premises do not reach the asserted constant	open			
envelopes-b-4	claims	low	claim	verified		no	The instruments	claims: Numbers without artifacts	31		P1		The settle-flatness module comment's level ratio (×1.17) is wrong at the committed probe counts, and `assert_flat_step`'s doc names one band while its limb row uses another	fix	9		
fuelscape-pipeline-1	claims	medium	claim	verified		yes	The instruments	claims: Summary claims outrun their per-operation contracts	66		P4		The overlay is a curated, signature-keyed subset presented as the committed adversarial frontier	open			
fuelscape-pipeline-28	claims	medium	claim	verified		no	The instruments				P2		COMBINE_ARITY_CAP claims a smoke-test pin to the guest's cap that does not exist	fix-amended	42		
fuelscape-render-33	claims	nit	claim	verified		no	The instruments	claims: Numbers without artifacts			P4		nit: the justfile's head-weight figure for the injected header has drifted	open			
fuzz-guests-pins-16	claims	low	claim	verified		no	The instruments				P2		The guest's contract says every nonzero return is a harness bug; the harness prices `ERR_OP` as an outcome	open			
fuzz-guests-pins-33	claims	medium	claim	verified		yes	The instruments		59		P1		"Three ""PINNED AS FOUND"" trap pins are labeled as red baselines awaiting a cure while their docs describe the terminal as intended"	fix	17		
fuzzfit-bands-27	claims	medium	claim	verified		yes	The instruments	claims: Summary claims outrun their per-operation contracts	56		P1		"""Every public operation"" overstates the 44-kernel vocabulary the bands price"	fix	14		
meter-core-8	claims	medium	claim	assessed		no	The instruments	claims: The committed instrument measures the benign case			P1		The `wide_arming` and `hoisted_window` guard admits widths at which the promotion their docs describe cannot fire, and the committed hoisted-window band runs at one	fix	50		
meter-registry-tier2-10	claims	medium	claim	verified		no	The instruments				P2		Reason strings name enforcement homes that do not hold the named pin or documentation	fix-amended	43		
surface-roster-23	claims	medium	claim	verified		no	The instruments				P2		Auto-trait impls are excluded from the census on the premise that `auto_traits.rs` covers every public type; it misses thirteen	fix	49		
surface-roster-7	claims	high	claim	verified		no	The instruments				P2		Three prose sites say the surface-totality gate fails until a `FAMILY_SURFACE` row is added; surfacecheck never reads `FAMILY_SURFACE`, and impls already sit behind no row	fix	40		
testing-diff-gen-28	claims	medium	claim	verified		yes	The instruments		63		P1		"The `Party::join_all` pin's discriminating margin is about 2%, and the module doc's ""a crossing is a class change, never noise"" overstates"	fix	21		
testing-oracles-28	claims	medium	claim	verified		no	The instruments	claims: Summary claims outrun their per-operation contracts	69		P4		"The validation index claims to map every instrument but has no row for at least eight committed instruments, misdescribes the exhaustive corpus as ""reachable states"", and gives the replay keystone no row"	fix-amended	63		
tests-other-17	claims	medium	claim	verified		yes	The instruments		30		P2		"`forks_max.rs` pins a ""documented behavior"" no public doc states; `Clock::forks`'s doc is false at that boundary; both docs name `n` for a parameter called `k`; ""both profiles"" describes a dissolved mechanism"	fix-amended	35		
tests-other-28	claims	low	claim	verified		yes	The instruments		72		P6	board	"""At the smallest committed-valid knobs"" is a claim nothing pins"	open			
skyline-coding-16	claims	nit	claim	assessed		no	The skyline coding				P2		"""costing one reallocation"" is unargued; a doubling buffer can reallocate more than once"	open			
skyline-coding-2	claims	low	claim	assessed		no	The skyline coding				P2		transcoder cost sentence overstates on Bigroot	open			
skyline-coding-20	claims	nit	claim	assessed		no	The skyline coding	"claims: Per-level re-work hidden inside ""linear"""	29		P2		the literal composer rescans both children per level; the `O(m)` constant is depth-proportional and unstated	fix	34		
skyline-coding-29	claims	medium	claim	assessed		yes	The skyline coding	"claims: Per-level re-work hidden inside ""linear"" | performance: Where the review found no avoidable work"	32		P2		"the render merge re-adds a wide `span` once per level; the class is published as ""subquadratic""/""n log n"" without an argument"	fix	36		
skyline-coding-9	claims	high	claim	assessed		no	The skyline coding	"claims: Per-level re-work hidden inside ""linear"" | claims: The committed instrument measures the benign case | claims: The hard-guarantee sentence and the meter header, reconciled | dependence: The ledger records values; rumors also relies on costs | performance: Where the review found no avoidable work"	22	2	P2		the re-anchor cascade re-copies a wide left-sibling code once per level: join is Θ(depth × width), not linear	fix	1		ruled fix; instrument row lands red before the cure
skyline-fill-grow-2	claims	medium	claim	assessed		yes	The skyline coding	claims: The hard-guarantee sentence and the meter header, reconciled	26		P2		The distinct-minima memo forests' transient heap has no instrument, and the heap paragraph does not name the per-level accumulators	fix	2		ruled fix; instrument row lands red before the cure
skyline-query-13	claims	low	claim	verified		no	The skyline coding				P2		Shift panic-freedom argued from a storage cap the codec denies	open			
skyline-query-28	claims	nit	claim	assessed		no	The skyline coding		36		P4		Backend multiplication-tier thresholds restated as literals with no anchor to the dependency pin	fix	59		
skyline-sweep-place-masked-14	claims	nit	claim	assessed		no	The skyline coding				P2		A constant written inside big-O in the placement cost comparison	open			
skyline-sweep-place-masked-21	claims	medium	claim	assessed		no	The skyline coding	"claims: Per-level re-work hidden inside ""linear"""	25	5	P2		The filter walks' stated `O(|v| + Σ|bound|)` omits the per-interval factor k	fix	31		
skyline-sweep-place-masked-4	claims	nit	claim	assessed		no	The skyline coding	claims: The committed instrument measures the benign case			P1		"The masked-hole band's flatness rests on zero deltas in the skipped run; the docs attribute it to ""accumulator work"""	open			
skyline-sweep-place-masked-5	claims	high	claim	assessed		no	The skyline coding	"claims: Per-level re-work hidden inside ""linear"" | claims: The hard-guarantee sentence and the meter header, reconciled | dependence: The ledger records values; rumors also relies on costs | performance: Where the review found no avoidable work"	24	3	P2		`block_skip` re-peeks a stationary cursor's trailing run every round: Θ(L·r/64) word reads on Θ(r + L) input	fix	30		ruled fix; instrument row lands red before the cure
suanpan-4	claims	low	claim	verified		no	suanpan				P2		"The ledger argument's ""a nonzero partial decides within one step"" is false in general"	open			
api-audit-2	correctness	low	correctness	assessed		no	Crate root and public types		7		P7		Decode::Io interpolates the io::Error into Display and returns None from Error::source()	open			
clock-17	correctness	medium	correctness	verified	demonstrated	yes	Crate root and public types	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived	4	10	P2		`Forks::len()` panics on 32-bit targets for counts past `usize` (an `ExactSizeIterator` over a `u64` count)	open			
party-13	correctness	medium	correctness	verified	demonstrated	yes	Crate root and public types	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived	4	10	P2		`Forks`/`Split` implement `ExactSizeIterator`, whose default `len()` panics for `k >= usize::MAX` shares on 32-bit targets	open			
crate-root-34	correctness	medium	correctness	verified	demonstrated	no	Cross-cutting: fold, shape, recurse, serde and borsh		13	9	P7		serde impls serialize as `bytes` but deserialize by requesting a `seq`	open			
clippy-pedantic-2	correctness	low	correctness	assessed		no	The codec	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived			P2		`PackedBuilder::patch_bit` truncates the offset to `u32` before the assert that implements its documented panic	open			
codec-base-text-tree-20	correctness	low	correctness	assessed		yes	The codec		11		P7		The clock text door trims Unicode whitespace; every other door and the cursor's own contract are ASCII-only	open			
codec-bits-23	correctness	medium	correctness	assessed	demonstrated	no	The codec	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived			P2		The wide-gamma width guard sits at usize::MAX, above dashu's capacity cap: 32-bit decode can panic inside dashu	fix	41		
codec-bits-8	correctness	nit	correctness	assessed		no	The codec				P2		require_marker_padding at pos 0 accepts `[0x80]`, which padding_is_canonical rejects	open			
inventory-7	correctness	nit	correctness	assessed		no	The codec	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived			P2		Cast to u32 precedes the range assert it is meant to be guarded by	open			
benches-examples-24	correctness	nit	correctness	verified		no	The instruments				P2		"space_consumption accepts `--data-iters 0` and `--runs 0` under a ""non-negative integer"" message, then panics or writes NaN rows"	open			
benches-examples-8	correctness	low	correctness	verified		no	The instruments	correctness: Checks that prove less than the sentence beside them			P4		"`scale_from_env` says ""positive number"" but accepts zero, negatives, NaN, infinity, and saturating magnitudes; the tripwire has no downstream guard"	open			
board-families-floors-judge-27	correctness	low	correctness	verified		no	The instruments	correctness: The marker-bit size law was not carried into the board's adapters			P4		`version_output_bytes` and the sibling ops.rs sites omit the marker bit and under-report the packed size by one byte on byte-aligned streams	open			
board-frame-15	correctness	low	correctness	verified		no	The instruments	correctness: The marker-bit size law was not carried into the board's adapters			P4		The version output reader undercounts a flush stream by its marker byte	open			
board-frame-21	correctness	low	correctness	verified		no	The instruments	correctness: The marker-bit size law was not carried into the board's adapters			P4		`truncated_bytes` argues its two-byte cut from a decoder verdict the decoder no longer produces, and the one-byte cut is both correct and more deferred	open			
board-frame-23	correctness	low	correctness	verified		no	The instruments	correctness: Instruments that measure a short-circuit under an adversarial label			P1		`party_noncanonical_text` never places its defect at the text's end on any board operand	open			
board-ops-render-12	correctness	medium	correctness	verified		no	The instruments				P2		`mechanism()` tags every liveness-floor trip as `constant+floor`, and its justifying comment cites the excised red-triage buffer	fix	48		
board-ops-render-31	correctness	nit	correctness	verified		no	The instruments				P2		A zero denominator makes the exponent fit `NaN`, and the exponent leg then reads green on unbounded growth	open			
deps-5	correctness	low	correctness	verified		no	The instruments	correctness: Checks that prove less than the sentence beside them			P4		"build.rs `expect(""validated"")` on `meta.base_seed` names a proof that does not exist"	open			
envelopes-b-28	correctness	nit	correctness	verified		no	The instruments				P2		Unchecked counter subtraction in `span_shares_the_crossing_folds`	open			
fuelscape-pipeline-19	correctness	nit	correctness	assessed		no	The instruments				P2		The samplers recurse on the drawn tree's depth	open			
fuelscape-pipeline-23	correctness	medium	correctness	verified	inconclusive	no	The instruments	correctness: Instruments that measure a short-circuit under an adversarial label	66		P1		Self-pair overlay points on rows whose kernel opens with canonical_eq measure the equality rung, not the family	fix	50		
fuelscape-render-22	correctness	low	correctness	verified		no	The instruments				P2		`smoothSeries` indexes past the array for one- or two-column datasets, producing a NaN probe path	open			
fuelscape-render-23	correctness	low	correctness	assessed		yes	The instruments		66		P6	board	The probe trace draws a five-column smooth of the quantile while its label, handle, readout, and guide anchor use the raw value	open			
fuelscape-render-27	correctness	medium	correctness	verified	demonstrated	no	The instruments		66		P6	board	The typesetting pass rewrites code spans on every workspace crate's rustdoc pages, while the justfile says the script activates only on `.fuelscape` elements	open			
fuelscape-render-3	correctness	low	correctness	assessed		no	The instruments	correctness: Documented panics reachable from input, and documented silence that panics			P2		"`aggregate`'s ""programmer error"" panic is reachable from `--max-bytes`"	open			
fuelscape-render-31	correctness	low	correctness	assessed		no	The instruments	correctness: Checks that prove less than the sentence beside them			P4		"`build.rs`'s re-validation compares untyped JSON values, so non-integer sizes and counts pass, and an `expect(""validated"")` names a check that never ran"	open			
fuelscape-render-6	correctness	low	correctness	assessed		no	The instruments	correctness: Checks that prove less than the sentence beside them			P4		Positivity of log-scaled quantities is enforced three ways for fuel and not at all for the size axis	open			
fuelscape-render-8	correctness	low	correctness	verified		no	The instruments				P2		`compact_dump` never runs `validate` on what it writes, and the Strictness paragraph names the wrong consumer of `read`	open			
fuzz-guests-pins-15	correctness	low	correctness	assessed		no	The instruments				P2		"The cap asserts on absolute peak heap, not the ""peak transient heap"" its doc names"	open			
fuzz-guests-pins-27	correctness	low	correctness	verified		no	The instruments	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived			P2		`synth_version` does 32-bit `usize` arithmetic that wraps seven bytes above the terminal pin, and synthesis failures share the trap channel	open			
fuzz-guests-pins-32	correctness	low	correctness	verified		no	The instruments				P2		The harness's fallback guest path resolves one directory above the repository	open			
fuzzfit-bands-16	correctness	nit	correctness	verified		no	The instruments				P2		`calibrate` accepts any `programs` count without asserting it covers the refit prefix	open			
fuzzfit-bands-7	correctness	low	correctness	verified		no	The instruments	correctness: Checks that prove less than the sentence beside them			P4		"`fit()`'s floor fallback contradicts `FIT_FLOOR_BITS`'s doc, and ""classifies constant"" is not guaranteed"	open			
gate-legs-1	correctness	high	correctness	verified		no	The instruments	correctness: Provenance of the gate and CI is not bound to the pins it judges	67	6	P1		The coverage leg is red at HEAD on a byte-identical before tree; the heap meter is not deterministic under instrumentation	fix	24		
gate-legs-2	correctness	medium	correctness	verified	inconclusive	no	The instruments	correctness: Provenance of the gate and CI is not bound to the pins it judges	68		P1		cargo-mutants is version-pinned by the count roster but installed unpinned in CI, and the install comment misclassifies it	fix-amended	25		
surface-roster-1	correctness	low	correctness	verified		no	The instruments	correctness: Provenance of the gate and CI is not bound to the pins it judges	68		P1		The CI instruments job installs a floating nightly while the recipe it runs invokes the dated pin, and its comment describes the coupling the pin exists to remove	fix-amended	25		
surface-roster-21	correctness	low	correctness	verified		no	The instruments				P2		The two totality jaws contradict each other on a `#[doc(hidden)]` inherent `pub fn` in a scanned file	open			
surface-roster-28	correctness	medium	correctness	verified	demonstrated	no	The instruments	correctness: Checks that prove less than the sentence beside them		17	P2		The shared extractor silently drops `pub const fn` and any `pub fn` at an unexpected indent, contradicting its stated never-under-report contract	fix-amended	47		
surface-roster-29	correctness	low	correctness	verified		no	The instruments				P2		`parse_impl_self_type` treats the `>` of a `->` return arrow as a closing angle bracket; a header in the scanned tree already trips it	open			
testing-oracles-4	correctness	low	correctness	verified		no	The instruments	correctness: Documented panics reachable from input, and documented silence that panics			P2		The oracle-to-impl doors state normal form as a fact but check nothing; a non-normal or empty oracle tree lowers to a wrong `Party`	open			
tests-other-26	correctness	medium	correctness	verified	demonstrated	no	The instruments	correctness: Instruments that measure a short-circuit under an adversarial label			P1		"Two seed comments describe a ""concurrent"" sibling version that `Clock::sync` has already made equal"	fix	50		
tests-other-27	correctness	medium	correctness	assessed	demonstrated	no	The instruments	correctness: Instruments that measure a short-circuit under an adversarial label			P1		`weave_pair()` equals `scatter_pair()` by value, so the Weave family contributes nothing to the matrix pool	fix	50		
tools-17	correctness	low	correctness	verified		no	The instruments				P2		covcheck returns early on an out-of-scope entry, hiding every other finding, against its own stated policy two lines later	open			
tools-22	correctness	medium	correctness	verified		no	The instruments		80		P6	board	Two hand-rolled Rust-file walkers read build output and a foreign worktree into the gate	open			
tools-25	correctness	low	correctness	verified		no	The instruments				P2		memwatch's per-process kill for test and bench binaries keys on a `target/` path component that cargo's build.build-dir removes	open			
inventory-1	correctness	medium	correctness	assessed	inconclusive	no	The skyline coding	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived	28	10	P2		Frame-ledger link index caps at u32 and panics on a valid, large decoded input	fix	33		
recursion-5	correctness	low	correctness	assessed		yes	The skyline coding	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived	28	10	P2		Memo ledger's u32 link index panics on a feasible input where IdIndex degrades gracefully	fix	33		
skyline-fill-grow-23	correctness	low	correctness	assessed		yes	The skyline coding	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived	28	10	P2		`Memo::set_link`'s `u32` link cap is a production panic reachable by input scale, undisclosed at the public tick	fix	33		
skyline-query-24	correctness	low	correctness	assessed		no	The skyline coding	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived	28		P2		`EpochLedger::epoch` narrows the freeze count to `u32` behind an expect that asserts rather than argues, and its doc miscounts	fix	33		
skyline-sweep-place-masked-3	correctness	low	correctness	assessed		no	The skyline coding	correctness: Documented panics reachable from input, and documented silence that panics	70		P2		The masked height debug-asserts panic in debug builds on input the Panics contract says sweeps silently	fix-amended	64		
suanpan-24	correctness	high	correctness	verified	demonstrated	no	suanpan	correctness: Narrowing conversions and fixed-width indices whose bound is asserted rather than derived		1	P2		Digit-position arithmetic wraps on 32-bit targets before any allocation can fail: a silent wrong value in release	fix-amended	39		
