source	class	severity	count
final/codec-base-text-tree.md	vestigial	nit	2
final/codec-bits.md	api-surprise	nit	1
final/codec-bits.md	claim	medium	1
final/codec-bits.md	claim	nit	3
final/codec-bits.md	correctness	medium	1
final/codec-bits.md	correctness	nit	1
final/codec-bits.md	documentation	low	8
final/codec-bits.md	documentation	nit	3
final/codec-bits.md	idiom	nit	1
final/codec-bits.md	performance	low	1
final/codec-bits.md	performance	nit	1
final/codec-bits.md	simplification	low	1
final/codec-bits.md	simplification	medium	1
final/codec-bits.md	simplification	nit	2
final/codec-bits.md	test-quality	low	1
final/codec-bits.md	test-quality	medium	1
final/codec-bits.md	verification-gap	medium	1
final/codec-bits.md	vestigial	low	1
final/codec-bits.md	vestigial	nit	1
final/crate-root.md	claim	low	4
final/crate-root.md	claim	medium	4
final/crate-root.md	correctness	medium	1
final/crate-root.md	documentation	low	11
final/crate-root.md	documentation	medium	1
final/crate-root.md	documentation	nit	5
final/crate-root.md	idiom	low	1
final/crate-root.md	idiom	nit	2
final/crate-root.md	performance	low	1
final/crate-root.md	scaffolding	nit	1
final/crate-root.md	simplification	low	1
final/crate-root.md	simplification	nit	2
final/crate-root.md	test-quality	low	1
final/crate-root.md	test-quality	nit	1
final/crate-root.md	verification-gap	low	2
final/crate-root.md	verification-gap	medium	1
final/crate-root.md	vestigial	low	1
final/envelopes-a.md	claim	low	1
final/envelopes-a.md	documentation	high	1
final/envelopes-a.md	documentation	low	4
final/envelopes-a.md	idiom	nit	2
final/envelopes-a.md	modularity	medium	1
final/envelopes-a.md	scaffolding	low	1
final/envelopes-a.md	simplification	low	1
final/envelopes-a.md	simplification	medium	1
final/envelopes-a.md	test-quality	low	2
final/envelopes-a.md	test-quality	medium	1
final/envelopes-a.md	verification-gap	low	2
final/envelopes-a.md	verification-gap	medium	4
final/envelopes-a.md	vestigial	low	1
final/envelopes-b.md	claim	low	2
final/envelopes-b.md	correctness	nit	1
final/envelopes-b.md	documentation	high	1
final/envelopes-b.md	documentation	low	3
final/envelopes-b.md	documentation	nit	4
final/envelopes-b.md	idiom	nit	3
final/envelopes-b.md	modularity	medium	1
final/envelopes-b.md	scaffolding	low	1
final/envelopes-b.md	simplification	low	4
final/envelopes-b.md	simplification	nit	1
final/envelopes-b.md	test-quality	low	1
final/envelopes-b.md	test-quality	medium	2
final/envelopes-b.md	test-quality	nit	1
final/envelopes-b.md	verification-gap	low	2
final/envelopes-b.md	verification-gap	medium	3
final/fuelscape-pipeline.md	api-surprise	nit	1
final/fuelscape-pipeline.md	claim	medium	2
final/fuelscape-pipeline.md	correctness	medium	1
final/fuelscape-pipeline.md	correctness	nit	1
final/fuelscape-pipeline.md	documentation	low	4
final/fuelscape-pipeline.md	documentation	nit	6
final/fuelscape-pipeline.md	idiom	low	1
final/fuelscape-pipeline.md	idiom	nit	3
final/fuelscape-pipeline.md	modularity	low	1
final/fuelscape-pipeline.md	modularity	medium	1
final/fuelscape-pipeline.md	simplification	low	3
final/fuelscape-pipeline.md	simplification	nit	1
final/fuelscape-pipeline.md	test-quality	low	3
final/fuelscape-pipeline.md	test-quality	nit	1
final/fuelscape-pipeline.md	verification-gap	low	1
final/fuelscape-pipeline.md	vestigial	low	2
final/fuelscape-render.md	claim	nit	1
final/fuelscape-render.md	correctness	low	6
final/fuelscape-render.md	correctness	medium	1
final/fuelscape-render.md	documentation	low	3
final/fuelscape-render.md	documentation	medium	1
final/fuelscape-render.md	documentation	nit	4
final/fuelscape-render.md	feature-gap	low	1
final/fuelscape-render.md	feature-gap	medium	1
final/fuelscape-render.md	idiom	nit	3
final/fuelscape-render.md	modularity	low	2
final/fuelscape-render.md	scaffolding	low	1
final/fuelscape-render.md	simplification	medium	1
final/fuelscape-render.md	simplification	nit	2
final/fuelscape-render.md	test-quality	low	1
final/fuelscape-render.md	verification-gap	low	1
final/fuelscape-render.md	verification-gap	medium	2
final/fuelscape-render.md	vestigial	low	2
final/fuzz-guests-pins.md	claim	low	1
final/fuzz-guests-pins.md	claim	medium	1
final/fuzz-guests-pins.md	correctness	low	3
final/fuzz-guests-pins.md	documentation	low	7
final/fuzz-guests-pins.md	documentation	nit	3
final/fuzz-guests-pins.md	idiom	low	1
final/fuzz-guests-pins.md	idiom	nit	2
final/fuzz-guests-pins.md	modularity	low	1
final/fuzz-guests-pins.md	scaffolding	low	1
final/fuzz-guests-pins.md	simplification	low	1
final/fuzz-guests-pins.md	simplification	nit	2
final/fuzz-guests-pins.md	test-quality	low	3
final/fuzz-guests-pins.md	test-quality	nit	1
final/fuzz-guests-pins.md	verification-gap	low	3
final/fuzz-guests-pins.md	verification-gap	medium	7
final/fuzz-guests-pins.md	vestigial	low	2
final/fuzzfit-bands.md	claim	medium	1
final/fuzzfit-bands.md	correctness	low	1
final/fuzzfit-bands.md	correctness	nit	1
final/fuzzfit-bands.md	documentation	low	4
final/fuzzfit-bands.md	documentation	medium	1
final/fuzzfit-bands.md	documentation	nit	3
final/fuzzfit-bands.md	idiom	nit	3
final/fuzzfit-bands.md	modularity	nit	1
final/fuzzfit-bands.md	scaffolding	low	1
final/fuzzfit-bands.md	simplification	low	2
final/fuzzfit-bands.md	test-quality	low	3
final/fuzzfit-bands.md	test-quality	nit	1
final/fuzzfit-bands.md	verification-gap	low	3
final/fuzzfit-bands.md	verification-gap	medium	4
final/fuzzfit-bands.md	vestigial	nit	1
final/fuzzfit-strategies.md	documentation	low	4
final/fuzzfit-strategies.md	documentation	medium	1
final/fuzzfit-strategies.md	documentation	nit	1
final/fuzzfit-strategies.md	idiom	nit	1
final/fuzzfit-strategies.md	modularity	low	2
final/fuzzfit-strategies.md	performance	nit	1
final/fuzzfit-strategies.md	simplification	low	4
final/fuzzfit-strategies.md	verification-gap	low	3
final/fuzzfit-strategies.md	verification-gap	medium	3
final/fuzzfit-strategies.md	vestigial	low	1
final/fuzzfit-strategies.md	vestigial	medium	1
final/meter-core.md	claim	medium	1
final/meter-core.md	documentation	low	2
final/meter-core.md	documentation	medium	2
final/meter-core.md	documentation	nit	1
final/meter-core.md	idiom	nit	1
final/meter-core.md	modularity	medium	1
final/meter-core.md	scaffolding	medium	1
final/meter-core.md	simplification	low	1
final/meter-core.md	test-quality	low	2
final/meter-core.md	test-quality	nit	1
final/meter-core.md	verification-gap	medium	1
final/meter-registry-tier2.md	claim	medium	1
final/meter-registry-tier2.md	documentation	high	1
final/meter-registry-tier2.md	documentation	low	3
final/meter-registry-tier2.md	documentation	nit	3
final/meter-registry-tier2.md	modularity	low	1
final/meter-registry-tier2.md	scaffolding	low	1
final/meter-registry-tier2.md	simplification	medium	1
final/meter-registry-tier2.md	simplification	nit	1
final/meter-registry-tier2.md	test-quality	low	1
final/meter-registry-tier2.md	test-quality	nit	2
final/meter-registry-tier2.md	verification-gap	low	2
final/meter-registry-tier2.md	verification-gap	medium	2
final/meter-registry-tier2.md	vestigial	low	1
final/meter-registry-tier2.md	vestigial	medium	1
final/oracle-laws.md	dependence	low	1
final/oracle-laws.md	documentation	low	3
final/oracle-laws.md	idiom	low	1
final/oracle-laws.md	idiom	nit	4
final/oracle-laws.md	modularity	low	1
final/oracle-laws.md	scaffolding	medium	1
final/oracle-laws.md	scaffolding	nit	1
final/oracle-laws.md	simplification	low	1
final/oracle-laws.md	simplification	nit	3
final/oracle-laws.md	test-quality	low	2
final/oracle-laws.md	test-quality	medium	1
final/oracle-laws.md	test-quality	nit	4
final/oracle-laws.md	verification-gap	low	2
final/oracle-laws.md	vestigial	low	1
final/party.md	claim	medium	6
final/party.md	claim	nit	1
final/party.md	correctness	medium	1
final/party.md	documentation	high	1
final/party.md	documentation	low	8
final/party.md	documentation	medium	2
final/party.md	idiom	low	1
final/party.md	idiom	nit	1
final/party.md	modularity	low	1
final/party.md	performance	low	2
final/party.md	performance	nit	1
final/party.md	simplification	low	2
final/party.md	simplification	medium	1
final/party.md	test-quality	low	2
final/party.md	verification-gap	low	2
final/party.md	verification-gap	medium	1
final/party.md	vestigial	nit	1
final/rank.md	api-surprise	nit	1
final/rank.md	claim	high	1
final/rank.md	claim	low	1
final/rank.md	claim	medium	3
final/rank.md	claim	nit	1
final/rank.md	documentation	low	7
final/rank.md	documentation	nit	5
final/rank.md	idiom	nit	2
final/rank.md	modularity	nit	1
final/rank.md	performance	low	2
final/rank.md	scaffolding	low	1
final/rank.md	simplification	low	4
final/rank.md	simplification	medium	1
final/rank.md	simplification	nit	1
final/rank.md	test-quality	low	1
final/rank.md	verification-gap	nit	1
final/skyline-coding.md	claim	high	1
final/skyline-coding.md	claim	low	1
final/skyline-coding.md	claim	medium	1
final/skyline-coding.md	claim	nit	2
final/skyline-coding.md	documentation	low	3
final/skyline-coding.md	documentation	medium	1
final/skyline-coding.md	documentation	nit	10
final/skyline-coding.md	idiom	low	2
final/skyline-coding.md	idiom	nit	5
final/skyline-coding.md	modularity	medium	1
final/skyline-coding.md	performance	low	2
final/skyline-coding.md	simplification	low	2
final/skyline-coding.md	test-quality	low	1
final/skyline-coding.md	test-quality	medium	1
final/skyline-coding.md	verification-gap	medium	1
final/skyline-coding.md	vestigial	low	2
final/skyline-fill-grow.md	claim	medium	1
final/skyline-fill-grow.md	correctness	low	1
final/skyline-fill-grow.md	documentation	low	6
final/skyline-fill-grow.md	documentation	medium	1
final/skyline-fill-grow.md	documentation	nit	7
final/skyline-fill-grow.md	idiom	low	2
final/skyline-fill-grow.md	idiom	nit	2
final/skyline-fill-grow.md	modularity	low	1
final/skyline-fill-grow.md	modularity	medium	1
final/skyline-fill-grow.md	performance	nit	2
final/skyline-fill-grow.md	scaffolding	nit	1
final/skyline-fill-grow.md	simplification	low	4
final/skyline-fill-grow.md	simplification	medium	1
final/skyline-fill-grow.md	simplification	nit	2
final/skyline-fill-grow.md	test-quality	low	2
final/skyline-fill-grow.md	verification-gap	low	1
final/skyline-fill-grow.md	vestigial	low	1
final/skyline-fill-grow.md	vestigial	nit	2
final/skyline-query.md	claim	low	1
final/skyline-query.md	claim	nit	1
final/skyline-query.md	correctness	low	1
final/skyline-query.md	documentation	low	6
final/skyline-query.md	documentation	nit	7
final/skyline-query.md	idiom	low	1
final/skyline-query.md	idiom	nit	3
final/skyline-query.md	performance	low	1
final/skyline-query.md	simplification	low	3
final/skyline-query.md	test-quality	low	2
final/skyline-query.md	test-quality	medium	1
final/skyline-query.md	verification-gap	low	1
final/skyline-query.md	verification-gap	nit	1
final/skyline-query.md	vestigial	low	1
final/skyline-query.md	vestigial	nit	2
final/skyline-sweep-place-masked.md	claim	high	1
final/skyline-sweep-place-masked.md	claim	medium	1
final/skyline-sweep-place-masked.md	claim	nit	2
final/skyline-sweep-place-masked.md	correctness	low	1
final/skyline-sweep-place-masked.md	documentation	low	3
final/skyline-sweep-place-masked.md	documentation	medium	1
final/skyline-sweep-place-masked.md	documentation	nit	9
final/skyline-sweep-place-masked.md	idiom	low	1
final/skyline-sweep-place-masked.md	idiom	nit	4
final/skyline-sweep-place-masked.md	modularity	nit	1
final/skyline-sweep-place-masked.md	performance	nit	1
final/skyline-sweep-place-masked.md	simplification	low	1
final/skyline-sweep-place-masked.md	simplification	medium	2
final/skyline-sweep-place-masked.md	simplification	nit	1
final/skyline-sweep-place-masked.md	test-quality	nit	2
final/skyline-sweep-place-masked.md	verification-gap	medium	3
final/skyline-sweep-place-masked.md	verification-gap	nit	1
final/skyline-sweep-place-masked.md	vestigial	low	1
final/skyline-watermark.md	documentation	low	3
final/skyline-watermark.md	documentation	nit	7
final/skyline-watermark.md	idiom	low	1
final/skyline-watermark.md	idiom	nit	3
final/skyline-watermark.md	modularity	low	1
final/skyline-watermark.md	modularity	nit	1
final/skyline-watermark.md	scaffolding	low	1
final/skyline-watermark.md	simplification	low	1
final/skyline-watermark.md	simplification	medium	3
final/skyline-watermark.md	simplification	nit	2
final/skyline-watermark.md	test-quality	nit	1
final/skyline-watermark.md	verification-gap	low	1
final/skyline-watermark.md	verification-gap	medium	2
final/skyline-watermark.md	verification-gap	nit	1
final/span-causally.md	api-surprise	nit	1
final/span-causally.md	claim	high	1
final/span-causally.md	claim	low	1
final/span-causally.md	claim	medium	1
final/span-causally.md	documentation	low	9
final/span-causally.md	documentation	medium	1
final/span-causally.md	documentation	nit	9
final/span-causally.md	idiom	low	1
final/span-causally.md	idiom	nit	3
final/span-causally.md	modularity	low	1
final/span-causally.md	modularity	medium	1
final/span-causally.md	modularity	nit	1
final/span-causally.md	performance	medium	1
final/span-causally.md	simplification	low	3
final/span-causally.md	simplification	nit	1
final/span-causally.md	verification-gap	low	3
final/suanpan-tests.md	api-surprise	nit	1
final/suanpan-tests.md	documentation	low	2
final/suanpan-tests.md	documentation	nit	4
final/suanpan-tests.md	idiom	low	1
final/suanpan-tests.md	idiom	nit	4
final/suanpan-tests.md	simplification	low	2
final/suanpan-tests.md	test-quality	low	3
final/suanpan-tests.md	test-quality	medium	1
final/suanpan-tests.md	test-quality	nit	2
final/suanpan-tests.md	verification-gap	low	3
final/suanpan-tests.md	verification-gap	medium	2
final/suanpan-tests.md	vestigial	nit	1
final/suanpan.md	api-surprise	low	1
final/suanpan.md	claim	low	1
final/suanpan.md	correctness	high	1
final/suanpan.md	documentation	low	3
final/suanpan.md	documentation	nit	7
final/suanpan.md	idiom	nit	5
final/suanpan.md	modularity	low	2
final/suanpan.md	performance	low	2
final/suanpan.md	performance	nit	1
final/suanpan.md	scaffolding	medium	1
final/suanpan.md	simplification	low	3
final/suanpan.md	simplification	nit	2
final/suanpan.md	test-quality	low	2
final/suanpan.md	test-quality	nit	1
final/suanpan.md	verification-gap	low	5
final/suanpan.md	verification-gap	medium	2
final/suanpan.md	vestigial	low	1
final/surface-roster.md	claim	high	1
final/surface-roster.md	claim	medium	1
final/surface-roster.md	correctness	low	3
final/surface-roster.md	correctness	medium	1
final/surface-roster.md	documentation	high	1
final/surface-roster.md	documentation	low	3
final/surface-roster.md	documentation	nit	2
final/surface-roster.md	idiom	nit	2
final/surface-roster.md	modularity	low	1
final/surface-roster.md	scaffolding	low	2
final/surface-roster.md	scaffolding	medium	1
final/surface-roster.md	simplification	low	3
final/surface-roster.md	simplification	nit	1
final/surface-roster.md	test-quality	low	1
final/surface-roster.md	test-quality	nit	3
final/surface-roster.md	verification-gap	low	3
final/surface-roster.md	verification-gap	medium	2
final/testing-diff-gen.md	claim	medium	1
final/testing-diff-gen.md	documentation	low	4
final/testing-diff-gen.md	documentation	medium	2
final/testing-diff-gen.md	documentation	nit	1
final/testing-diff-gen.md	idiom	low	1
final/testing-diff-gen.md	idiom	nit	1
final/testing-diff-gen.md	scaffolding	low	1
final/testing-diff-gen.md	simplification	low	3
final/testing-diff-gen.md	simplification	nit	6
final/testing-diff-gen.md	test-quality	low	5
final/testing-diff-gen.md	verification-gap	low	2
final/testing-diff-gen.md	verification-gap	medium	3
final/testing-diff-gen.md	vestigial	low	2
final/testing-oracles.md	claim	medium	1
final/testing-oracles.md	correctness	low	1
final/testing-oracles.md	documentation	low	4
final/testing-oracles.md	documentation	nit	5
final/testing-oracles.md	idiom	medium	1
final/testing-oracles.md	idiom	nit	2
final/testing-oracles.md	modularity	low	1
final/testing-oracles.md	scaffolding	low	2
final/testing-oracles.md	simplification	low	4
final/testing-oracles.md	simplification	nit	1
final/testing-oracles.md	test-quality	nit	2
final/testing-oracles.md	verification-gap	low	1
final/testing-oracles.md	verification-gap	medium	1
final/testing-oracles.md	vestigial	low	2
final/testing-oracles.md	vestigial	nit	1
final/tests-other.md	claim	low	1
final/tests-other.md	claim	medium	1
final/tests-other.md	correctness	medium	2
final/tests-other.md	documentation	low	4
final/tests-other.md	documentation	medium	1
final/tests-other.md	documentation	nit	2
final/tests-other.md	idiom	low	2
final/tests-other.md	idiom	nit	1
final/tests-other.md	modularity	low	1
final/tests-other.md	scaffolding	medium	1
final/tests-other.md	test-quality	low	2
final/tests-other.md	verification-gap	low	1
final/tests-other.md	verification-gap	medium	9
final/tests-other.md	vestigial	low	1
final/tests-other.md	vestigial	nit	1
final/tools.md	correctness	low	2
final/tools.md	correctness	medium	1
final/tools.md	documentation	low	3
final/tools.md	documentation	nit	4
final/tools.md	idiom	nit	1
final/tools.md	scaffolding	low	2
final/tools.md	scaffolding	medium	1
final/tools.md	simplification	low	2
final/tools.md	simplification	nit	3
final/tools.md	verification-gap	low	5
final/tools.md	verification-gap	medium	8
final/tools.md	vestigial	low	1
final/version-core.md	claim	low	2
final/version-core.md	claim	medium	1
final/version-core.md	claim	nit	2
final/version-core.md	documentation	low	9
final/version-core.md	documentation	nit	3
final/version-core.md	idiom	nit	1
final/version-core.md	modularity	low	1
final/version-core.md	modularity	nit	1
final/version-core.md	simplification	low	3
final/version-core.md	simplification	nit	3
final/version-core.md	test-quality	low	1
final/version-core.md	test-quality	nit	3
final/version-core.md	verification-gap	low	2
final/version-core.md	vestigial	low	3
final/version-core.md	vestigial	medium	1
sweeps-final/api-audit.md	api-surprise	low	3
sweeps-final/api-audit.md	api-surprise	medium	1
sweeps-final/api-audit.md	correctness	low	1
sweeps-final/api-audit.md	documentation	low	5
sweeps-final/api-audit.md	documentation	medium	1
sweeps-final/api-audit.md	documentation	nit	9
sweeps-final/api-audit.md	feature-gap	low	1
sweeps-final/api-audit.md	simplification	low	1
sweeps-final/api-audit.md	verification-gap	low	1
sweeps-final/clippy-pedantic.md	api-surprise	low	1
sweeps-final/clippy-pedantic.md	correctness	low	1
sweeps-final/clippy-pedantic.md	documentation	nit	2
sweeps-final/clippy-pedantic.md	idiom	nit	1
sweeps-final/clippy-pedantic.md	performance	low	1
sweeps-final/clippy-pedantic.md	simplification	nit	1
sweeps-final/clippy-pedantic.md	vestigial	low	1
sweeps-final/deps.md	correctness	low	1
sweeps-final/deps.md	documentation	low	1
sweeps-final/deps.md	documentation	medium	1
sweeps-final/deps.md	documentation	nit	2
sweeps-final/deps.md	idiom	nit	1
sweeps-final/deps.md	scaffolding	low	1
sweeps-final/deps.md	scaffolding	nit	1
sweeps-final/deps.md	simplification	low	2
sweeps-final/deps.md	simplification	nit	1
sweeps-final/deps.md	verification-gap	high	1
sweeps-final/deps.md	verification-gap	low	1
sweeps-final/deps.md	verification-gap	medium	2
sweeps-final/deps.md	vestigial	low	1
sweeps-final/fresh-eyes.md	api-surprise	low	3
sweeps-final/fresh-eyes.md	api-surprise	nit	2
sweeps-final/fresh-eyes.md	documentation	low	4
sweeps-final/fresh-eyes.md	documentation	medium	2
sweeps-final/fresh-eyes.md	documentation	nit	4
sweeps-final/fresh-eyes.md	feature-gap	nit	1
sweeps-final/gate-legs.md	correctness	high	1
sweeps-final/gate-legs.md	correctness	medium	1
sweeps-final/gate-legs.md	documentation	low	2
sweeps-final/gate-legs.md	documentation	medium	1
sweeps-final/gate-legs.md	documentation	nit	2
sweeps-final/gate-legs.md	scaffolding	low	2
sweeps-final/gate-legs.md	verification-gap	medium	4
sweeps-final/inventory.md	correctness	medium	1
sweeps-final/inventory.md	correctness	nit	1
sweeps-final/inventory.md	documentation	low	1
sweeps-final/inventory.md	documentation	nit	3
sweeps-final/inventory.md	idiom	nit	3
sweeps-final/inventory.md	modularity	nit	1
sweeps-final/inventory.md	scaffolding	low	1
sweeps-final/inventory.md	simplification	nit	2
sweeps-final/inventory.md	verification-gap	medium	1
sweeps-final/meter-adequacy.md	documentation	medium	1
sweeps-final/meter-adequacy.md	scaffolding	low	1
sweeps-final/meter-adequacy.md	scaffolding	nit	1
sweeps-final/meter-adequacy.md	test-quality	nit	1
sweeps-final/meter-adequacy.md	verification-gap	low	6
sweeps-final/meter-adequacy.md	verification-gap	medium	2
sweeps-final/module-graph.md	documentation	low	4
sweeps-final/module-graph.md	idiom	nit	1
sweeps-final/module-graph.md	modularity	low	2
sweeps-final/module-graph.md	modularity	nit	1
sweeps-final/module-graph.md	simplification	low	1
sweeps-final/module-graph.md	verification-gap	low	1
sweeps-final/module-graph.md	verification-gap	medium	2
sweeps-final/paper-fidelity.md	claim	low	1
sweeps-final/paper-fidelity.md	claim	medium	3
sweeps-final/paper-fidelity.md	documentation	low	6
sweeps-final/paper-fidelity.md	documentation	nit	2
sweeps-final/paper-fidelity.md	idiom	nit	1
sweeps-final/paper-fidelity.md	verification-gap	low	1
sweeps-final/prose-hygiene.md	documentation	low	6
sweeps-final/prose-hygiene.md	documentation	medium	4
sweeps-final/prose-hygiene.md	documentation	nit	4
sweeps-final/prose-hygiene.md	idiom	low	1
sweeps-final/prose-hygiene.md	vestigial	medium	1
sweeps-final/recursion.md	correctness	low	1
sweeps-final/recursion.md	documentation	low	3
sweeps-final/recursion.md	documentation	nit	2
sweeps-final/recursion.md	idiom	nit	1
sweeps-final/recursion.md	simplification	nit	1
sweeps-final/recursion.md	verification-gap	low	1
sweeps-final/recursion.md	verification-gap	medium	1
sweeps-final/rumors-dependence.md	dependence	low	1
sweeps-final/rumors-dependence.md	dependence	medium	1
sweeps-final/rumors-dependence.md	dependence	nit	1
sweeps-final/rumors-dependence.md	documentation	low	1
sweeps-final/rumors-dependence.md	documentation	nit	1
sweeps-final/rumors-dependence.md	verification-gap	low	1
sweeps-final/suite-economics.md	documentation	low	1
sweeps-final/suite-economics.md	idiom	nit	1
sweeps-final/suite-economics.md	modularity	low	2
sweeps-final/suite-economics.md	performance	low	1
sweeps-final/suite-economics.md	verification-gap	low	1
sweeps-final/suite-economics.md	verification-gap	medium	1
