id	doc	severity	class	provenance	owner_gated	module	patterns	owner_decision	readme_top	phase	lane	title	disposition	ruling	sha	note
api-audit-2	api	medium	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Public signatures name types with no public path, and nothing catches the class	15		P6		Public signatures name types with no public path: Snapshot's IntoIter, Signal, and a second StreamError	fix	T60		
api-audit-3	api	low	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)		25		P6		Payload bounds are re-demanded at every method although the crate docs promise 'demanded once'	fix	T72		
api-core-1	api	nit	api-surprise	assessed	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)				P6		`Batch::redact_all` accepts only `&Version` items although callers usually hold owned versions	fix	T84		
api-core-30	api	nit	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)				P6		Small `Copy` enums omit `Hash`, and `Protocol` omits `Ord`	fix	T84		
api-core-35	api	low	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)		16		P6		`Snapshot` equality includes the causal ceiling, undocumented, while `hash` documents excluding it	fix-amended	T61		
api-core-5	api	medium	api-surprise	verified	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Derived impls on generic wrappers bind `T` and `B` where the representation never inspects them		21	P6		Derived `Debug`/`Clone`/`PartialEq` on generic wrappers demand bounds their representations never use; `Error<B>` is not `std::error::Error` for a non-`Debug` bookmark	fix	T83		
deps-12	api	nit	feature-gap	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)		32		P9		rumors' `[package]` alone in the workspace lacks `description` and `license`	fix-amended	T79		phase! P9
deps-5	api	low	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Hidden but ungated calibration hooks on the production handles	19		P6		rand's RngCore reaches the public surface through an ungated, doc-hidden constructor that only tests call	fix	T64		
deps-6	api	low	api-surprise	assessed	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)		26		P6		`pub use ::before;` puts a whole crate on the public surface beside an explicit re-export list, with the choice unrecorded at the site	model	T73		
fresh-eyes-4	api	low	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Public signatures name types with no public path, and nothing catches the class	15	21	P6		Snapshot's IntoIterator names an iterator type users cannot name	fix	T60		
fresh-eyes-9	api	nit	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)		24		P6		Joined::Bailed/Failed return the bookmark but drop the configuration	fix	T70		
inventory-1	api	medium	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Public signatures name types with no public path, and nothing catches the class	15		P6		`tree::Iter` reaches the public API through `IntoIterator` but has no nameable path	fix	T60		
tests-common-2	api	low	api-surprise	verified	yes	Integration tests (tests/common, then the suites)	api: `Rumors::send` returns no `Version`, by recorded decision, and the crate's own tests recover it six ways	20		P6		the version a `send` created is recovered five different ways	fix-amended	T67		
tests-common-30	api	low	feature-gap	verified	no	Integration tests (tests/common, then the suites)	api: Bootstrap and retire sessions are reimplemented per test suite			P5	harness	the bootstrap and retire driver family: a pass-through layer the V1 retirement left, and drivers four suites reimplement	open			
tests-lifecycle-10	api	low	api-surprise	verified	yes	Integration tests (tests/common, then the suites)	api: Hidden but ungated calibration hooks on the production handles	19		P6		`Peer::seed_rng` is public but hidden and ungated, while the partition depends on it for reproducibility	fix	T64		
tests-lifecycle-31	api	low	api-surprise	verified	yes	Integration tests (tests/common, then the suites)	api: `Rumors::send` returns no `Version`, by recorded decision, and the crate's own tests recover it six ways	20		P6		Version recovery after `send` is reimplemented in six shapes; the harness already has `created_version`, and the corpus is evidence for the API decision	fix-amended	T67		
tests-observation-11	api	low	feature-gap	verified	no	Integration tests (tests/common, then the suites)	api: Bootstrap and retire sessions are reimplemented per test suite			P5	harness	`forked()` re-derives the bootstrap fork without the control-drain assertion because the harness cannot attach a builder observer	open			
link-16	api	low	feature-gap	assessed	yes	Link	api: What the crate configures and measures cannot be read back	22		P6		Router evictions are unobservable except through the affected link's next error	fix	T68		
link-21	api	low	feature-gap	verified	yes	Link	api: What the crate configures and measures cannot be read back	22		P6		The dialing side of a routed link cannot observe its `Token`	fix	T68		
link-6	api	low	api-surprise	verified	yes	Link				P6		`SessionState` has public getters but no path to read them without consuming the link	dup	T84		
materialized-17	api	nit	api-surprise	verified	yes	Materialized	api: Derived impls on generic wrappers bind `T` and `B` where the representation never inspects them | api: The `#[non_exhaustive]` rule is recorded only in commit 1e458d69's message	10		P3		`MaterializedError` derives only `Debug`, is exhaustive while its sibling is not, and the enclosing `mirror::Error`'s `Clone` derive is unsatisfiable for the production alias	fix	T55		
materialized-2	api	low	feature-gap	verified	yes	Materialized	api: What the crate configures and measures cannot be read back	22		P6		Window saturation is unobservable to the user tuning the budget	fix	T66,T68		
mirror-common-15	api	nit	api-surprise	verified	no	Mirror common	api: Error variants no public path produces, and an origin the taxonomy does not state			P6		`HandOffDefect::Undecodable` admits `Decode::Io`, a state `decode_party` never produces	fix	T63		
remote-adapter-streams-21	api	low	feature-gap	assessed	yes	Remote adapter and streams	api: What the crate configures and measures cannot be read back	22		P6		No frame counts in `SessionStats` although every frame crosses this layer	fix	T66,T68		
remote-adapter-streams-22	api	nit	api-surprise	verified	yes	Remote adapter and streams	api: The `#[non_exhaustive]` rule is recorded only in commit 1e458d69's message	10		P3		`SendError` and the adapter's `EncodeError` are exhaustive while their incoming twins `StreamError`, `AcceptError`, and `DecodeError` are `#[non_exhaustive]`	fix	T55		
remote-capture-atlas-35	api	low	api-surprise	verified	yes	Remote capture and codec tests	api: The `#[non_exhaustive]` rule is recorded only in commit 1e458d69's message	10		P3		The rule deciding which exported error enums are `#[non_exhaustive]` lives only in git history	fix	T55		
remote-capture-atlas-8	api	nit	api-surprise	verified	no	Remote capture and codec tests				P6		`stream_label` returns a nested tuple, and the capture structs derive nothing	open			
api-audit-14	api	low	api-surprise	verified	yes	Remote codec	api: `pub` on items nothing outside the crate can reach, documented in library-user voice	1,18		P3		Diagnostic types expose constructors and protocol-schedule helpers as public API	model	T46		
remote-codec-18	api	low	api-surprise	assessed	yes	Remote codec	api: The `#[non_exhaustive]` rule is recorded only in commit 1e458d69's message	10		P3		`#[non_exhaustive]` follows a rule recorded only in a commit message	fix	T55		
remote-codec-28	api	low	api-surprise	verified	yes	Remote codec	api: Error variants no public path produces, and an origin the taxonomy does not state	18		P6		`GreetingError::Order` is a public variant no public path produces	fix	T63		
remote-codec-30	api	medium	api-surprise	verified	yes	Remote codec	api: Public signatures name types with no public path, and nothing catches the class	18		P6		Public methods on re-exported error types return types no user can name; `Display` routes through `Debug`	fix	T63		
remote-codec-5	api	low	feature-gap	verified	yes	Remote codec	api: What the crate configures and measures cannot be read back	22		P6		The effective run budget is not observable: saturation is silent, there is no getter, and no session stat records the negotiated minimum	fix	T66,T68		
remote-proxy-2	api	low	api-surprise	verified	yes	Remote proxy	api: Error variants no public path produces, and an origin the taxonomy does not state	18		P6		PayloadDepthMismatch is publicly exported in RemoteError but never reaches a user there	fix	T63		
remote-proxy-3	api	low	api-surprise	verified	yes	Remote proxy	api: Error variants no public path produces, and an origin the taxonomy does not state	18		P6		The public error taxonomy does not say which variants diagnose the local participant and which the peer; TerminalQuery is raised for both	fix	T63		
api-audit-4	api	low	api-surprise	assessed	yes	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)		17		P6		`BookmarkError` is a misnamed supertrait implemented by bookmarks, not by errors	fix	T62		
session-bookmark-20	api	low	feature-gap	verified	yes	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)		22		P6		The bookmark format's decoder is crate-private, so an operator holding a bookmark file has no read-only way to inspect it	fix	T66,T68		
session-bookmark-23	api	medium	api-surprise	verified	yes	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)		17		P6		`Bookmark::store` lends a writer through an HRTB closure and a boxed future, but the crate hands it an already-materialized `Vec`	fix	T62		
session-bookmark-38	api	low	feature-gap	verified	yes	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)		22		P6		`SessionObserver` has no end-of-session hook carrying the outcome; `Drop` is the only end signal and it cannot say whether the session converged or failed	fix	T66,T68		
session-bookmark-40	api	low	api-surprise	verified	no	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)		27		P6		A second `Peer::observe` or `Bootstrap::observe` replaces the first, and neither doc says so	fix-amended	T74		
session-bookmark-44	api	low	api-surprise	verified	yes	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)	api: `pub` on items nothing outside the crate can reach, documented in library-user voice	1		P3		`pub struct Message` and eight `pub fn`s are unreachable outside the crate but documented in library-user voice; `try_new`'s doc misnames it as the send-path constructor	model	T46		
session-bookmark-46	api	low	api-surprise	verified	yes	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)	api: The `#[non_exhaustive]` rule is recorded only in commit 1e458d69's message	10		P3		`EncodeError` is not `#[non_exhaustive]` while every other public error taxonomy in the partition is	fix	T55		
testing-infra-8	api	low	api-surprise	verified	no	Test scaffolding (src/testing, src/tests)		29		P6		`IoFault`/`IoPlan` admit configurations the mechanism reinterprets without saying so	fix	T76		
tree-core-2	api	medium	api-surprise	assessed	yes	Tree core	api: Derived impls on generic wrappers bind `T` and `B` where the representation never inspects them		21	P6		`#[derive(Debug, Eq)]` on `Tree<T>` and the four derives on `Snapshot<T>` impose `T` bounds no impl can use	fix	T83		
tree-core-5	api	low	api-surprise	verified	yes	Tree core	api: Public signatures name types with no public path, and nothing catches the class	2,15	21	P3		`Iter` is unnameable from outside the crate yet is the public `IntoIterator::IntoIter` of `&Snapshot<T>`	fix	T47		
tree-core-6	api	nit	api-surprise	verified	yes	Tree core		28		P6		`latest`/`earliest` read as a symmetric pair but bound different sets, and the tree-level docs do not say so	fix-amended	T75		
tree-typed-17	api	nit	api-surprise	assessed	no	Tree typed				P6		`Node<Root>::get` takes `&[u8]`, and the untyped walk spends two arms on lengths the type could exclude	open			
benches-envelope-28	correctness	medium	correctness	verified	no	Benches and examples	correctness: Instruments in the examples that outlived a format or transport change	43	14	P1		"The ""mirror the crate"" constants are hand-copied literals that have rotted twice"	fix	T10		
benches-envelope-31	correctness	nit	correctness	verified	no	Benches and examples				P2		joint_int's expect argues a bound that fails for j = 16 at N ≥ 2⁶²	fix-amended	T43		resolved by deleting envelope_sim
benches-envelope-34	correctness	low	correctness	assessed	no	Benches and examples	correctness: Debug-only guards that degrade to wrong release behavior			P2		prefixes() shifts a u64 by 64 at depth 0: a debug-mode panic and a wrong release-mode row	fix-amended	T43		resolved by deleting envelope_sim
swarm-example-16	correctness	medium	correctness	verified	no	Benches and examples	correctness: Instruments in the examples that outlived a format or transport change	79		P2		"""roundtrips/sync"" counts control-stream flips, which no longer carry the descent"	fix-amended	T27		resolved by deleting the example
swarm-example-20	correctness	low	correctness	assessed	no	Benches and examples				P2		After a party thread dies, the coordinator's retry paths spin without the tick they promise, and `shrink` can drop a live party	fix-amended	T27		resolved by deleting the example
swarm-example-23	correctness	low	correctness	verified	no	Benches and examples	correctness: Instruments in the examples that outlived a format or transport change			P2		Headless latency and roundtrip rows include the warmup window because `Stats` carries display strings	fix-amended	T27		resolved by deleting the example
swarm-example-27	correctness	low	correctness	assessed	no	Benches and examples				P2		The terminal is not restored on the `?` arms between enable and disable	fix-amended	T27		resolved by deleting the example
swarm-example-8	correctness	low	correctness	assessed	no	Benches and examples		79		P5	benches	Command-line input reaches `assert!` and a library `# Panics` precondition unvalidated	fix-amended	T27		resolved by deleting the example
api-core-11	correctness	nit	correctness	assessed	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)		19		P6		`Network::from_rng` loops without bound on a degenerate RNG, and its doc calls the handled case impossible	fix	T64		
api-core-2	correctness	low	correctness	assessed	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	correctness: Debug-only guards that degrade to wrong release behavior	94		P2		`Batch::commit`'s no-party arm degrades to a silent drop in release builds	fix-amended	T37		redesign: party held in the retire future
deps-3	correctness	medium	correctness	assessed	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)		57		P1		the docs.rs configuration names a feature gate the toolchain records as removed, and no gate or ci leg builds under `--cfg docsrs`	fix	T20		
tests-disruption-handshake-7	correctness	high	correctness	assessed	no	Integration tests (tests/common, then the suites)	correctness: Harnesses that read a failure as success		3	P1		Serving-task panics are swallowed in the inter-process parent	fix	T26		
link-25	correctness	nit	correctness	assessed	no	Link	correctness: Debug-only guards that degrade to wrong release behavior			P2		`link_header` truncates the advertised-name length with a debug-only guard	fix-amended	T44		validated-length newtype
link-28	correctness	medium	correctness	demonstrated	yes	Link		22,36	12	P2		The router's single count bound evicts a pooling dialer's already-admitted idle connections first, and the default is sized for the non-pooling case	fix	T31		
link-29	correctness	nit	correctness	assessed	no	Link				P2		The router's read-id counter should wrap rather than overflow	fix	T45		
materialized-14	correctness	low	correctness	assessed	no	Materialized	correctness: Documentation promises stronger than the code			P2		The opening and terminal legs classify and check counterparty faults differently from the `Resolver`, contradicting the `Violation` docs	fix-amended	T40		
mirror-common-8	correctness	medium	correctness	assessed	no	Mirror common (including the streaming module root's test suites under src/tree/mirror/streaming/tests/)	correctness: One exact-read defect at two altitudes	38	10	P2		`resume_payload`'s exactness contract is false for admitted inputs: spare capacity beyond `len` over-reads the transport, and a prefix longer than `len` returns `Ok` over-long	fix	T33		
streaming-tests-11	correctness	high	correctness	assessed	no	Mirror common (including the streaming module root's test suites under src/tree/mirror/streaming/tests/)	correctness: Harnesses that read a failure as success	67	2	P1		Stall probes report violations and livelocks as completion	fix	T26		
remote-capture-atlas-13	correctness	high	correctness	assessed	no	Remote capture and codec tests			1	P1		Container and named-tag map keys render as a bare `…`, breaking the renderer's injectivity contract	fix	T5		snapshot re-accept ruled on the diff (T5)
remote-codec-10	correctness	low	correctness	assessed	no	Remote codec	correctness: Async-reader defects the sync-oracle differential cannot see	58		P1		The async and sync decoders spell a non-canonical listing entry head differently, and no differential test drives listing defects through the async reader	fix	T24		
remote-codec-11	correctness	low	correctness	assessed	no	Remote codec	correctness: Async-reader defects the sync-oracle differential cannot see			P2		The opener bulk read drops a transport error that arrives after a partial fill	fix	T41		
remote-codec-14	correctness	medium	correctness	assessed	no	Remote codec	correctness: Async-reader defects the sync-oracle differential cannot see | correctness: One exact-read defect at two altitudes	38	10	P2		The over-budget lone-record body read can consume bytes of the next frame	fix	T33		
session-bookmark-21	correctness	low	correctness	assessed	yes	Session and bookmark (peer/gossip, bookmark, reconciliation, observe, message)	correctness: Documentation promises stronger than the code	37		P2		The `Bookmark` doc promises reclaim at the first dominating gossip; the code reclaims at the first unsuppressed pre-session checkpoint, and no test pins the timing	fix	T32		
async-hazards-3	correctness	high	correctness	demonstrated	no	Tree core		39	11	P2		User payload destructors run inside the watch write-lock critical section at both commit sites	fix-amended	T34		full evacuation: pre-image Option plus graveyard sink
tree-core-30	correctness	low	correctness	assessed	no	Tree core	correctness: Documentation promises stronger than the code	95		P2		"`Z::act` stores the running join as the leaf's version rather than the applied action's, and `react`'s ""causally latest action wins"" holds only for causally ascending sequences"	fix-amended	T38		
tree-core-8	correctness	low	correctness	verified	no	Tree core	correctness: Documentation promises stronger than the code			P2		`warm_caches` says it forces every memo but skips `version_bytes`, which the greeting reads	fix	T42		
benches-envelope-10	documentation	medium	documentation	verified	no	Benches and examples				P5	benches	"The ""Fixture discipline"" section describes a hazard the binary cannot trigger and a rebuild policy it does not follow"	open			
benches-envelope-14	documentation	low	documentation	verified	no	Benches and examples				P5	benches	"""the generator's latency-only regime"" has no referent"	open			
benches-envelope-17	documentation	nit	(table)			Benches and examples	documentation: Hand-maintained counts, tallies, and measurements			P4		"Hand-maintained counts beside the arrays they count, one wrong (""three orders of magnitude"" for 10^2 to 10^6)."	open			
benches-envelope-21	documentation	nit	(table)			Benches and examples				P5	benches	The wall component is described as CPU time and measured as elapsed time.	open			
benches-envelope-24	documentation	nit	(table)			Benches and examples				P5	benches	"`expect(""bounded hop count"")` names no bound."	open			
benches-envelope-26	documentation	nit	(table)			Benches and examples	documentation: Moralized vocabulary colliding with the model of record			P3		"""integer-honest"", ""keeps `min` honest"", ""genuine"", ""hp""."	fix	T50		
benches-envelope-27	documentation	nit	(table)			Benches and examples				P5	benches	The usage block advertises `--fast` as a standalone mode; it applies only under `--full`.	open			
benches-envelope-30	documentation	nit	(table)			Benches and examples	documentation: Incident narrative and dated rationale at the declaration site			P4		A verification is claimed done whose artifact is not in the tree.	open			
benches-envelope-4	documentation	nit	(table)			Benches and examples				P5	benches	`window` carries three senses inside one file.	open			
benches-envelope-7	documentation	nit	(table)			Benches and examples	documentation: Rewrap residue from the first-sentence split			P4		A stray one-word doc line.	open			
benches-envelope-8	documentation	medium	documentation	verified	no	Benches and examples				P5	benches	gossip_grid cites an in_memory.rs `join` bench that does not exist	open			
benches-envelope-9	documentation	low	documentation	verified	no	Benches and examples				P5	benches	"""batches commit on drop"" states the Batch contract backwards"	open			
swarm-example-1	documentation	low	documentation	assessed	no	Benches and examples				P5	benches	Module doc omits the run command and two quit keys, and its step numbering disagrees with `run_party`	fix-amended	T27		resolved by deleting the example
swarm-example-10	documentation	nit	(table)			Benches and examples				P5	benches	"`expect` messages are labels rather than proofs, and one claims ""any depth limit"" though `PayloadDepthLimit::new(0)` is constructible."	fix-amended	T27		resolved by deleting the example
swarm-example-11	documentation	nit	(table)			Benches and examples	documentation: Em-dashes in line comments and assert strings			P3		Em-dashes in `//` comments.	fix-amended	T27		resolved by deleting the example
swarm-example-17	documentation	nit	(table)			Benches and examples	documentation: One argument in two homes that have drifted			P4		The same rationale stated twice at three points.	fix-amended	T27		resolved by deleting the example
swarm-example-2	documentation	low	documentation	verified	no	Benches and examples				P5	benches	"""version vector"" collides with the distributed-systems term of art"	fix-amended	T27		resolved by deleting the example
swarm-example-21	documentation	low	documentation	verified	no	Benches and examples				P5	benches	"""key pool"" is a ghost of the retired `Key` vocabulary"	fix-amended	T27		resolved by deleting the example
swarm-example-4	documentation	nit	(table)			Benches and examples	documentation: Moralized vocabulary colliding with the model of record			P3		"""genuine"", ""honest"", ""a real application""."	fix-amended	T27		resolved by deleting the example
swarm-example-6	documentation	low	documentation	verified	no	Benches and examples				P5	benches	Private docs and comments describe state the code does not have	fix-amended	T27		resolved by deleting the example
swarm-example-7	documentation	nit	(table)			Benches and examples	documentation: Rewrap residue from the first-sentence split			P4		Doc paragraphs left ragged by the summary split.	fix-amended	T27		resolved by deleting the example
tests-resource-link-window-2	documentation	nit	(table)			Benches and examples	documentation: Hand-maintained counts, tallies, and measurements			P4		The dead_code comment names one caller where the partition has three.	open			
conformance-10	documentation	nit	(table)			Conformance				P5	link	The `contract:` prefix decorates a structural `unreachable!` and is missing from a sibling assertion.	open			
conformance-12	documentation	low	documentation	verified	no	Conformance				P5	link	The concurrency check's docs assert backpressured elders that exist only below the probe size	open			
conformance-17	documentation	low	documentation	verified	no	Conformance				P5	link	The session-check comment claims many streams per side; the constant it sizes says one or two	open			
conformance-19	documentation	nit	(table)			Conformance	documentation: Em-dashes in line comments and assert strings	3		P3		Em-dashes in `//` comments.	fix	T48		
conformance-2	documentation	low	documentation	verified	no	Conformance				P5	link	Suite summaries name the link contract's clauses in words the contract does not use	open			
conformance-22	documentation	nit	(table)			Conformance	documentation: Metaphors promoted to jargon	4		P3		"""seam"" for boundaries that are each a named trait method."	fix	T49		
conformance-23	documentation	nit	(table)			Conformance				P5	link	The process-global ledger states its consequence (serialize tests) but not its cause (`Leaf::leaf` receives no backend handle).	open			
conformance-26	documentation	nit	(table)			Conformance				P5	link	`BOUND_SWEEP_CEILING`'s doc names a largest bound the grid exceeds by one.	open			
conformance-29	documentation	low	documentation	verified	no	Conformance				P5	link	`run`'s doc says it returns the peak above the resting corpora; the ledger's peak is absolute	open			
conformance-3	documentation	nit	(table)			Conformance	documentation: Public rustdoc that names what the API does not reach			P4		The backend suite's visibility rationale is stated three times, once in public rustdoc, and omits why the items are `pub(crate)`.	open			
conformance-32	documentation	nit	(table)			Conformance	documentation: Moralized vocabulary colliding with the model of record	5		P3		"""honest"", ""lying"", and `Dishonest` collide with the model's term of art for the trust premise."	fix	T50		
conformance-34	documentation	nit	(table)			Conformance				P5	link	"The testdoc places detection ""the moment"" a node assembles; the report lands at run end and the leaf check records the same lie first."	open			
conformance-4	documentation	nit	(table)			Conformance	documentation: Moralized vocabulary colliding with the model of record			P3		"""genuinely"" (12), ""silently"" (9), ""loudly"", ""teeth"", and loose ""sound"" without their mechanism."	fix	T50		
conformance-5	documentation	low	documentation	verified	no	Conformance	documentation: Hand-maintained counts, tallies, and measurements			P4		Hand-maintained tallies and ratios in prose, one of them a compile-time relation the compiler could hold	open			
conformance-8	documentation	nit	(table)			Conformance				P5	link	`check_control`'s first sentence claims independence, which is the next check's clause.	open			
prose-hygiene-10	documentation	low	documentation	verified	no	Conformance	documentation: Metaphors promoted to jargon	4		P3		"""Seam"" used 66 times as undefined jargon for a trait or interface boundary, reaching public rustdoc"	fix	T49		
api-audit-16	documentation	nit	(table)			Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: Hazard sections named or placed inconsistently			P4		Hazard headings are inconsistent: `# Cancellation` beside `# Cancel safety`, and `send`, `send_all`, `gossip`, `gossip_when`, and `Bootstrap::join` carry error contracts with no `# Errors` heading.	open			
api-audit-18	documentation	nit	(table)			Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)				P5	core	Two doc examples call `send` as a statement and discard its `Result`, teaching the pattern the admission contract exists to prevent.	open			
api-audit-5	documentation	low	documentation	verified	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: Residue of the V1 retirement (368da2a5)	35	15	P4		Prose still speaks of 'selecting' a Protocol that no API selects, and the enum carries a vestigial repr	open			
api-audit-8	documentation	low	documentation	verified	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: Public rustdoc that names what the API does not reach	80		P4		Public rustdoc cites test files and a `cfg(test)` constant a library user cannot see	fix	T92		
api-audit-9	documentation	low	documentation	assessed	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: Public rustdoc that names what the API does not reach	80		P4		`Peer::sync_memory_budget` carries a 160-line operator sizing guide on a setter	fix	T92		
api-core-13	documentation	low	documentation	verified	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)				P5	core	`Peer::bookmark`'s first sentence promises a persist that a pristine seed skips	open			
api-core-14	documentation	nit	(table)			Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: Hand-maintained counts, tallies, and measurements			P4		"""the four `Retire` outcomes"" and ""the four ways"" count enums defined in other files."	open			
api-core-15	documentation	low	documentation	verified	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: Public rustdoc that names what the API does not reach	80		P4		`sync_memory_budget`'s public doc cites test files and internals, and states the wire-buffer bound twice	fix	T92		
api-core-17	documentation	nit	(table)			Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)		6		P3		First sentences mix the imperative and the third person; the doctrine fixes third person, so the imperative majority is the deviation.	fix-amended	T51		
api-core-18	documentation	medium	documentation	verified	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)				P5	core	The `Bootstrap` page enumerates a three-setting builder that has four	open			
api-core-24	documentation	low	documentation	verified	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)				P5	core	Terminology drifts in public prose, including a ghost of the retired `Broadcast` type	open			
api-core-26	documentation	low	documentation	assessed	no	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)				P5	core	The `_since` observer constructors state no same-universe precondition on `since`	open			
api-core-27	documentation	nit	(table)			Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: One argument in two homes that have drifted			P4		The session promise with its three exceptions is stated in full on both `Rumors::gossip` and `Link`.	open			
api-core-28	documentation	nit	(table)			Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial; README, Cargo.toml, AGENTS.md)	documentation: Hazard sections named or placed inconsistently			P4		`# Cancellation` where the crate's nine other hazard sections say `# Cancel safety`.	open			
